name,cfp-Bplaces,cfp-Btransitions,cfp-Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,mcc-Aplaces,mcc-Atransitions,mcc-Aarcs,mcc-unfoldingtime,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.0003526666666666667,0.00020974999999999998,24,72,440,0.6836666666666665,1.0,0.0008226474890297417
AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.0003325555555555556,0.0001477777777777778,89,88,333,0.4323333333333333,1.0,0.0011110254433307635
Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,8.307692307692307e-05,3.307692307692308e-05,31,21,51,0.043666666666666666,1.0,0.0026600117439812094
CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.000128,6.62e-05,23,28,92,0.07166666666666667,1.0,0.002709767441860465
AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.0012225833333333331,0.00014875,369,408,1553,0.44566666666666666,1.0,0.003077038145100972
DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.00018354545454545454,0.00014027272727272727,38,32,88,0.07233333333333333,1.0,0.004476749057394219
DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.0005705714285714286,0.00016757142857142857,140,128,416,0.16433333333333333,1.0,0.004491741524195886
CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.00030111111111111115,6.366666666666666e-05,58,81,279,0.07166666666666667,1.0,0.005089922480620156
Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.000112,3.7615384615384624e-05,46,31,76,0.02866666666666667,1.0,0.005219141323792486
AirplaneLD-COL-0100,20.0,15.0,56.0,719.0,808.0,3078.0,0.0023255000000000003,0.000153625,719,808,3078,0.445,1.0,0.005571067415730338
FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.004708466666666666,0.0006234666666666666,1486,1234,3799,0.9099999999999998,0.9959558823529412,0.0058592673992674
AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.0005532222222222222,0.00015033333333333332,159,168,638,0.11499999999999999,1.0,0.006117874396135267
Referendum-COL-0050,4.0,3.0,6.0,151.0,101.0,251.0,0.000291375,3.4874999999999994e-05,151,101,251,0.044333333333333336,1.0,0.007359022556390978
CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.0005997999999999999,7.07e-05,117,176,624,0.07233333333333333,1.0,0.009269585253456222
AirplaneLD-COL-0200,20.0,15.0,56.0,1419.0,1608.0,6128.0,0.0046081428571428575,0.00015299999999999998,1419,1608,6128,0.4586666666666666,1.0,0.010380398671096348
Sudoku-COL-BN01,5.0,1.0,5.0,5.0,1.0,5.0,3.584615384615384e-05,0.00010930769230769231,5,1,5,0.012333333333333335,1.0,0.011769230769230768
