name,cfp-Bplaces,cfp-Btransitions,cfp-Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,mcc-Aplaces,mcc-Atransitions,mcc-Aarcs,mcc-unfoldingtime,size_ratio,unfolding_ratio
DrinkVendingMachine-COL-02,6.0,7.0,28.0,24.0,72.0,440.0,0.00034759375000000003,0.00021459375,24,72,440,0.6836666666666665,1.0,0.0008223122866894199
AirplaneLD-COL-0010,20.0,15.0,56.0,89.0,88.0,333.0,0.00032887499999999996,0.00015299999999999998,89,88,333,0.4323333333333333,1.0,0.001114591364687741
Referendum-COL-0010,4.0,3.0,6.0,31.0,21.0,51.0,8.215625e-05,3.059375000000001e-05,31,21,51,0.043666666666666666,1.0,0.00258206106870229
CSRepetitions-COL-02,6.0,5.0,15.0,23.0,28.0,92.0,0.00012706249999999998,6.334374999999998e-05,23,28,92,0.07166666666666667,1.0,0.0026568313953488363
AirplaneLD-COL-0050,20.0,15.0,56.0,369.0,408.0,1553.0,0.0012525625,0.00016215625,369,408,1553,0.44566666666666666,1.0,0.0031743876215407627
DatabaseWithMutex-COL-02,11.0,8.0,22.0,38.0,32.0,88.0,0.00017834375,0.00012146874999999998,38,32,88,0.07233333333333333,1.0,0.004144873271889401
DatabaseWithMutex-COL-04,11.0,8.0,22.0,140.0,128.0,416.0,0.00056496875,0.00016181250000000004,140,128,416,0.16433333333333333,1.0,0.004422603955375254
Referendum-COL-0015,4.0,3.0,6.0,46.0,31.0,76.0,0.000107875,2.790625000000001e-05,46,31,76,0.02866666666666667,1.0,0.00473655523255814
CSRepetitions-COL-03,6.0,5.0,15.0,58.0,81.0,279.0,0.0002978125,6.809375000000001e-05,58,81,279,0.07166666666666667,1.0,0.005105668604651163
AirplaneLD-COL-0100,20.0,15.0,56.0,719.0,808.0,3078.0,0.00233059375,0.00016268750000000002,719,808,3078,0.445,1.0,0.005602879213483147
FamilyReunion-COL-L00010M0001C001P001G001,104.0,66.0,198.0,1475.0,1234.0,3799.0,0.004554718750000001,0.0005909999999999998,1486,1234,3799,0.9099999999999998,0.9959558823529412,0.00565463598901099
AirplaneLD-COL-0020,20.0,15.0,56.0,159.0,168.0,638.0,0.0005585624999999999,0.00015090625,159,168,638,0.11499999999999999,1.0,0.0061692934782608694
Referendum-COL-0050,4.0,3.0,6.0,151.0,101.0,251.0,0.00028803125,2.8781250000000005e-05,151,101,251,0.044333333333333336,1.0,0.007146146616541353
CSRepetitions-COL-04,6.0,5.0,15.0,117.0,176.0,624.0,0.0005810937500000003,6.221874999999999e-05,117,176,624,0.07233333333333333,1.0,0.008893721198156688
AirplaneLD-COL-0200,20.0,15.0,56.0,1419.0,1608.0,6128.0,0.00462978125,0.00014890625000000003,1419,1608,6128,0.4586666666666666,1.0,0.01041865007267442
Sudoku-COL-AN02,4.0,1.0,4.0,20.0,8.0,32.0,7.387499999999999e-05,6.146874999999999e-05,20,8,32,0.012000000000000002,1.0,0.011278645833333331
Sudoku-COL-BN01,5.0,1.0,5.0,5.0,1.0,5.0,3.415624999999999e-05,0.00010775000000000002,5,1,5,0.012333333333333335,1.0,0.01150591216216216
Sudoku-COL-AN04,4.0,1.0,4.0,112.0,64.0,256.0,0.000359625,6.321875e-05,112,64,256,0.030000000000000002,1.0,0.014094791666666665
LamportFastMutEx-COL-3,18.0,17.0,68.0,71.0,114.0,480.0,0.0005503750000000002,0.001282375,100,156,664,0.126,0.72265625,0.014545634920634922
Referendum-COL-0020,4.0,3.0,6.0,61.0,41.0,101.0,0.00013343749999999998,2.6937500000000008e-05,61,41,101,0.011000000000000001,1.0,0.014579545454545451
CSRepetitions-COL-05,6.0,5.0,15.0,206.0,325.0,1175.0,0.0010550312500000004,6.559375e-05,206,325,1175,0.07233333333333333,1.0,0.015492511520737334
SharedMemory-COL-000010,6.0,5.0,16.0,141.0,220.0,840.0,0.000777375,8.040624999999999e-05,141,220,840,0.05033333333333334,1.0,0.01704201158940397
SafeBus-COL-80,20.0,14.0,68.0,13766.0,550801.0,4308564.0,2.6662953125,0.5140172500000001,13766,550801,4308564,161.049,1.0,0.019747484073170278
DatabaseWithMutex-COL-10,11.0,8.0,22.0,830.0,800.0,3800.0,0.0038119062499999998,0.00026778124999999995,830,800,3800,0.19400000000000003,1.0,0.021029317010309273
Sudoku-COL-BN04,5.0,1.0,5.0,128.0,64.0,320.0,0.0006259999999999998,0.00045499999999999995,128,64,320,0.04700000000000001,1.0,0.02299999999999999
