,name,Bplaces,Btransitions,Barcs,cfp-Aplaces,cfp-Atransitions,cfp-Aarcs,cfp-unfoldingtime,colorfixedpoint,trunk-Aplaces,trunk-Atransitions,trunk-Aarcs,trunk-unfoldingtime,size_ratio,unfolding_ratio
SharedMemory-COL-001000,SharedMemory-COL-001000,6.0,5.0,16.0,1004001.0,2002000.0,8004000.0,9.045398124999998,8.246875e-05,1004001.0,2002000.0,8004000.0,215.78878125000003,1.0,0.04191821530921222
SharedMemory-COL-000500,SharedMemory-COL-000500,6.0,5.0,16.0,252001.0,501000.0,2002000.0,2.415885,7.909375e-05,252001.0,501000.0,2002000.0,14.725990625000001,1.0,0.1640612272052156
FamilyReunion-COL-L01200M0120C060P060G030,FamilyReunion-COL-L01200M0120C060P060G030,104.0,66.0,198.0,4612908.0,4405329.0,13507769.0,22.840753125000003,0.0006068124999999999,4614109.0,4405329.0,13507769.0,138.92840625,0.9998668431447725,0.16441101250666657
FamilyReunion-COL-L00800M0080C040P040G020,FamilyReunion-COL-L00800M0080C040P040G020,104.0,66.0,198.0,2075308.0,1976909.0,6061249.0,9.92298875,0.0005895937500000001,2076109.0,1976909.0,6061249.0,32.75216249999999,0.9998023694935477,0.30299001917048995
SafeBus-COL-80,SafeBus-COL-80,20.0,14.0,68.0,13766.0,550801.0,4308564.0,2.6662953125,0.5140172500000001,13766.0,550801.0,4308564.0,6.88255,1.0,0.46208346652040305
SharedMemory-COL-000200,SharedMemory-COL-000200,6.0,5.0,16.0,40801.0,80400.0,320800.0,0.33237775,8.46875e-05,40801.0,80400.0,320800.0,0.6311875312500002,1.0,0.5267252932604567
SafeBus-COL-50,SafeBus-COL-50,20.0,14.0,68.0,5606.0,140251.0,1083354.0,0.6479088125000001,0.13481484375000002,5606.0,140251.0,1083354.0,1.2807368749999999,1.0,0.6111510268258655
NeoElection-COL-2,NeoElection-COL-2,18.0,22.0,98.0,41.0,21.0,89.0,0.00030571875,0.0012279687500000001,438.0,375.0,2106.0,0.0024661874999999996,0.07626076260762607,0.6218860082617401
FamilyReunion-COL-L00400M0040C020P020G001,FamilyReunion-COL-L00400M0040C020P020G001,104.0,66.0,198.0,537708.0,508489.0,1558729.0,2.5288081250000003,0.0005899999999999999,538109.0,508489.0,1558729.0,4.03778875,0.9996168538445516,0.6264315152693415
NeoElection-COL-3,NeoElection-COL-3,18.0,22.0,98.0,84.0,60.0,300.0,0.0006394687500000002,0.00377103125,972.0,1048.0,6032.0,0.006810718749999999,0.07128712871287128,0.6475821659791782
NeoElection-COL-4,NeoElection-COL-4,18.0,22.0,98.0,145.0,130.0,698.0,0.0012150937499999998,0.009841718749999999,1830.0,2390.0,13865.0,0.015269124999999998,0.06516587677725119,0.7241287565593969
NeoElection-COL-5,NeoElection-COL-5,18.0,22.0,98.0,224.0,240.0,1340.0,0.0021620312499999995,0.022209750000000004,3090.0,4746.0,27594.0,0.03080296875,0.059213884635017866,0.7912153353725038
SharedMemory-COL-000100,SharedMemory-COL-000100,6.0,5.0,16.0,10401.0,20200.0,80400.0,0.07192962500000001,7.884374999999999e-05,10401.0,20200.0,80400.0,0.08707206250000002,1.0,0.8269985421558149
Philosophers-COL-100000,Philosophers-COL-100000,5.0,5.0,15.0,500000.0,500000.0,1600000.0,10.41970625,7.356249999999999e-05,500000.0,500000.0,1600000.0,12.166037500000002,1.0,0.8564645483379449
FamilyReunion-COL-L00200M0020C010P010G005,FamilyReunion-COL-L00200M0020C010P010G005,104.0,66.0,198.0,143908.0,134279.0,411469.0,0.6736706874999999,0.0005901249999999999,144109.0,134279.0,411469.0,0.7805230937499998,0.9992779861200913,0.8638576076724829
NeoElection-COL-6,NeoElection-COL-6,18.0,22.0,98.0,321.0,399.0,2283.0,0.0034060312500000006,0.044249093749999996,4830.0,8533.0,49616.0,0.0548725,0.053880116740252934,0.8684700897535196
Philosophers-COL-050000,Philosophers-COL-050000,5.0,5.0,15.0,250000.0,250000.0,800000.0,3.3347703124999994,7.45625e-05,250000.0,250000.0,800000.0,3.5837065625,1.0,0.9305574596692442
NeoElection-COL-7,NeoElection-COL-7,18.0,22.0,98.0,436.0,616.0,3584.0,0.00517675,0.08131543749999999,7128.0,14240.0,82736.0,0.09258718749999999,0.0492324971920629,0.9341701571829255
Referendum-COL-1000,Referendum-COL-1000,4.0,3.0,6.0,3001.0,2001.0,5001.0,0.005301562499999998,2.578125e-05,3001.0,2001.0,5001.0,0.00569334375,1.0,0.9357144033328391
FamilyReunion-COL-L00100M0010C005P005G002,FamilyReunion-COL-L00100M0010C005P005G002,104.0,66.0,198.0,40605.0,36871.0,112728.0,0.1518824375,0.00058728125,40706.0,36871.0,112728.0,0.16148865624999997,0.998698067726259,0.9441512629466815
Philosophers-COL-010000,Philosophers-COL-010000,5.0,5.0,15.0,50000.0,50000.0,160000.0,0.273350875,6.840624999999999e-05,50000.0,50000.0,160000.0,0.2866202187500001,1.0,0.9539427554777131
SafeBus-COL-20,SafeBus-COL-20,20.0,14.0,68.0,1046.0,10501.0,77544.0,0.04389200000000001,0.011735874999999998,1046.0,10501.0,77544.0,0.05800384374999999,1.0,0.9590377361845096
