,name,Btransitions,Barcs,pw-Aplaces,pw-Atransitions,pw-Aarcs,pw-unfoldingtime,pw-colorfixedpoint,cfp-Bplaces,vd-Aplaces,vd-Atransitions,vd-Aarcs,vd-unfoldingtime,vd-colorfixedpoint,size_ratio,unfolding_ratio
TokenRing-COL-050,TokenRing-COL-050,2.0,4.0,2601.0,127551.0,510204.0,0.5165245,210.82259374999998,1.0,2601,127551,510204,0.5731078437499999,0.04024821875,1.0,0.002902236309013274
Philosophers-COL-010000,Philosophers-COL-010000,5.0,15.0,50000.0,50000.0,160000.0,0.20868234375000005,94.81562812500002,5.0,50000,50000,160000,0.29120009375000006,7.587500000000001e-05,1.0,0.0030652784252066735
TokenRing-COL-040,TokenRing-COL-040,2.0,4.0,1681.0,65641.0,262564.0,0.2611728125,70.24210312499999,1.0,1681,65641,262564,0.26933315625000004,0.038871406250000004,1.0,0.004371492790962201
Philosophers-COL-005000,Philosophers-COL-005000,5.0,15.0,25000.0,25000.0,80000.0,0.09043493749999999,23.463403124999996,5.0,25000,25000,80000,0.11003378124999998,6.903124999999999e-05,1.0,0.004674516832791442
TokenRing-COL-030,TokenRing-COL-030,2.0,4.0,961.0,27931.0,111724.0,0.10351046875000001,17.465496875,1.0,961,27931,111724,0.1058775625,0.037671500000000004,1.0,0.008170584694477128
Philosophers-COL-002000,Philosophers-COL-002000,5.0,15.0,10000.0,10000.0,32000.0,0.04400174999999999,3.6998387500000005,5.0,10000,10000,32000,0.03353503125000001,7.065625000000001e-05,1.0,0.008976260473703408
BridgeAndVehicles-COL-V80P20N50,BridgeAndVehicles-COL-V80P20N50,11.0,56.0,228.0,8588.0,67470.0,0.03113125,26.462359375000002,15.0,228,8588,67470,0.03437109375,0.22643903124999998,1.0,0.009844309634076388
BridgeAndVehicles-COL-V80P50N50,BridgeAndVehicles-COL-V80P50N50,11.0,56.0,228.0,8588.0,67470.0,0.030702562500000002,26.257859375000002,15.0,228,8588,67470,0.03426615625,0.22696771875,1.0,0.00993716870557899
Philosophers-COL-000005,Philosophers-COL-000005,5.0,15.0,25.0,25.0,80.0,0.014671562499999999,0.00010171874999999999,5.0,25,25,80,0.00010312500000000001,7.259375e-05,1.0,0.011894361653745678
SafeBus-COL-50,SafeBus-COL-50,14.0,68.0,5556.0,140151.0,1082904.0,0.9714594374999999,64.108946875,20.0,5606,140251,1083354,0.66860321875,0.13686499999999993,1.0010294632378678,0.012376508758755143
